10, 0.000002, 0.000499, 
10, 0.000002, 0.000000, 
10, 0.000002, 0.000000, 
10, 0.000007, 0.000480, 
10, 0.000070, 0.006234, 
10, 0.000159, 0.008977, 
10, 0.000282, 0.012218, 
10, 0.000441, 0.015958, 
10, 0.000643, 0.020197, 
10, 0.000892, 0.024935, 
10, 0.001194, 0.030171, 
10, 0.001553, 0.035906, 
10, 0.001975, 0.042140, 
10, 0.002463, 0.048872, 
10, 0.003024, 0.056103, 
10, 0.003663, 0.063833, 
10, 0.004383, 0.072062, 
10, 0.005191, 0.080789, 
10, 0.006091, 0.090015, 
10, 0.007089, 0.099739, 
10, 0.008188, 0.109962, 
10, 0.009395, 0.120684, 
10, 0.010714, 0.131905, 
10, 0.012151, 0.143624, 
10, 0.013709, 0.155842, 
10, 0.015395, 0.168559, 
10, 0.017212, 0.181775, 
10, 0.019167, 0.195489, 
10, 0.021264, 0.209702, 
10, 0.023508, 0.224413, 
10, 0.025905, 0.239623, 
10, 0.028458, 0.255332, 
10, 0.031173, 0.271540, 
10, 0.034056, 0.288246, 
10, 0.037110, 0.305451, 
10, 0.040342, 0.323155, 
10, 0.043755, 0.341357, 
10, 0.047356, 0.360058, 
10, 0.051149, 0.379258, 
10, 0.055138, 0.398957, 
10, 0.059330, 0.419154, 
10, 0.063728, 0.439850, 
10, 0.068339, 0.461044, 
10, 0.073166, 0.482738, 
10, 0.078215, 0.504929, 
10, 0.083491, 0.527620, 
10, 0.089000, 0.550810, 
10, 0.094745, 0.574498, 
10, 0.100731, 0.598684, 
10, 0.106965, 0.623370, 
10, 0.113451, 0.648554, 
10, 0.120193, 0.674237, 
10, 0.127197, 0.700418, 
10, 0.134468, 0.727098, 
10, 0.142011, 0.754277, 
10, 0.149830, 0.781955, 
10, 0.157932, 0.810131, 
10, 0.166320, 0.838806, 
10, 0.175000, 0.867980, 
10, 0.183976, 0.897652, 
10, 0.193252, 0.927574, 
10, 0.202827, 0.957496, 
10, 0.212701, 0.987418, 
10, 0.222874, 1.017339, 
10, 0.233347, 1.047261, 
